"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"USA",7089,8.86629956585502,25079,10.1297861215436,"0.926",529.09,21433226,67,327096.265
"CHN",4308,8.36822903827628,6510,8.78109473520261,"0.761",554.72,14342933.96,42,1427647.786
"AUS",3468,8.15133333790043,6875,8.83564692253477,"0.944",509.22,1380207.833,77,24898.152
"BRA",3017,8.01201823915906,3935,8.2776661608515,"0.765",408.76,1847795.847,38,209469.323
"IND",2421,7.79193595693806,2639,7.87815533650332,"0.645",NA,2891582.351,40,1352642.28
"GBR",2119,7.6586995582683,10323,9.24212969446559,"0.932",515.8,2826441.791,77,67141.684
"MLI",1782,7.48549160803075,435,6.07534603108868,"0.434",NA,17432.62928,30,19077.749
"MEX",1774,7.48099216286952,2158,7.67693714581808,"0.779",443.36,1256440.91,31,126190.788
"CAN",1684,7.42892719480227,5815,8.66819606495276,"0.929",519.69,1741496.79,77,37074.562
"ZAF",1579,7.36454701425564,2278,7.73105314400713,"0.709",374.06,351430.9912,44,57792.518
"ESP",1549,7.34536484041687,4421,8.39412119382624,"0.904",504.83,1393490.525,62,46692.858
"DEU",1172,7.06646697013696,7277,8.89247396834709,"0.947",524.26,3861123.558,80,83124.418
"ITA",1099,7.00215595440362,3496,8.15937473677543,"0.892",500.75,2003576.145,53,60627.291
"JPN",1012,6.91968384984741,2095,7.64730883235624,"0.919",590.89,5082465.811,74,127202.192
"NZL",990,6.89770494312864,1513,7.32184971378836,"0.931",492.69,206768.6733,88,4743.131
"SWE",933,6.83840520084734,2901,7.9728107841214,"0.945",509.15,530883.869,85,9971.638
"FRA",879,6.77878489768518,5328,8.58073121222023,"0.901",499.18,2715518.274,69,64990.511
"NOR",834,6.72623340235875,1540,7.33953769540767,"0.957",530.48,403336.3636,84,5337.962
"KEN",701,6.55250788703459,841,6.73459165997295,"0.601",NA,95501.87298,31,51392.565
"FIN",697,6.54678541076052,1983,7.5923661285198,"0.938",531.13,269296.3102,85,5522.576
"OMN",690,6.5366915975913,986,6.89365635460264,"0.813",414.85,76331.51867,54,4829.473
"IDN",675,6.51471269087253,686,6.53087762772588,"0.718",396.71,1119190.784,37,267670.543
"POL",610,6.41345895716736,1373,7.22475340576797,"0.88",528.84,595862.0869,56,37921.592
"ARG",604,6.40357419793482,1041,6.94793706861497,"0.845",429.38,449663.5248,42,44361.15
"CRI",599,6.39526159811545,334,5.8111409929767,"0.81",422.54,61773.94463,57,4999.441
"PER",591,6.3818160174061,453,6.11589212548303,"0.777",419.49,226850.3928,38,31989.26
"CHL",568,6.34212141872115,808,6.69456205852109,"0.851",455.97,282318.1597,67,18729.16
"NLD",519,6.25190388316589,3483,8.155649270366,"0.944",530.27,907050.8631,82,17059.56
"TUR",514,6.24222326545517,694,6.5424719605068,"0.82",470.39,761425.5922,40,82340.088
"ETH",499,6.21260609575152,433,6.07073772800249,"0.485",NA,92750.11782,38,109224.414
"PRT",488,6.19031540585315,1497,7.31121838441963,"0.864",525.21,238785.085,61,10256.193
"MYS",478,6.16961073249146,657,6.48768401848461,"0.81",474.05,364684.1369,51,31528.033
"CUB",476,6.16541785423142,111,4.70953020131233,"0.783",NA,105354.9432,47,11338.134
"IRL",471,6.15485809401642,780,6.65929391968364,"0.955",535.42,398590.1866,72,4818.69
"NPL",470,6.1527326947041,318,5.76205138278018,"0.602",NA,30714.93474,33,28095.714
"IRN",458,6.12686918411419,1146,7.04403289727469,"0.783",433.92,603779.5565,25,81800.188
"CHE",446,6.10031895202006,2861,7.95892649305011,"0.955",543.83,731425.4712,85,8525.611
"GRC",419,6.03787091992214,828,6.71901315438526,"0.888",477.87,205326.7346,50,10522.246
"PHL",400,5.99146454710798,397,5.98393628068719,"0.718",NA,359354.4378,34,106651.394
"ECU",394,5.97635090929793,399,5.98896141688986,"0.759",414.71,107435.665,39,17084.358
"THA",391,5.96870755998537,472,6.15697898558556,"0.777",440.25,542016.9892,36,69428.453
"VNM",390,5.96614673912369,357,5.87773578177964,"0.704",520.04,261921.2292,36,95545.962
"NER",386,5.95583736946483,318,5.76205138278018,"0.394",NA,12927.65499,32,22442.822
"MDG",362,5.89164421182577,204,5.31811999384422,"0.528",NA,14104.66468,25,26262.313
"COL",358,5.8805329864007,586,6.37331978957701,"0.767",413.67,323802.8081,39,49661.048
"GIN",353,5.8664680569333,119,4.77912349311153,"0.477",NA,12354.40127,28,12414.293
"TZA",352,5.8636311755981,575,6.35437004079735,"0.529",NA,62942.61444,38,56313.438
"BGD",349,5.85507192220243,308,5.73009978297357,"0.632",NA,301051.1018,26,161376.708
"MNG",348,5.85220247977447,202,5.30826769740121,"0.737",NA,13852.85027,35,3170.216
"UGA",328,5.79301360838414,271,5.6021188208797,"0.544",NA,32609.11959,27,42729.036
"PAK",317,5.75890177387728,412,6.02102334934953,"0.557",NA,256996.3478,31,212228.286
"GHA",303,5.71373280550937,288,5.66296048013595,"0.611",NA,66999.25805,43,29767.102
"ISR",292,5.67675380226828,728,6.59030104819669,"0.919",514.24,395098.6021,60,8381.516
"AUT",289,5.66642668811243,1265,7.14282740116162,"0.922",519.54,445075.3917,76,8891.388
"PAN",285,5.65248918026865,404,6.00141487796115,"0.815",368.96,66787.86684,35,4176.869
"CMR",282,5.64190707093811,239,5.47646355193151,"0.563",NA,38861.36203,25,25216.267
"RUS",280,5.63478960316925,707,6.56103066589657,"0.824",551.63,1692930.151,30,145734.038
"BEL",275,5.61677109766657,1764,7.47533923656674,"0.931",529.11,533097.4558,76,11482.178
"CZE",260,5.56068163101553,1169,7.06390396147207,"0.9",516.2,250680.5045,54,10665.677
"NGA",260,5.56068163101553,267,5.58724865840025,"0.539",NA,474516.65,25,195874.683
"ATA",251,5.52545293913178,29,3.36729582998647,NA,NA,NA,NA,NA
"DNK",247,5.50938833662798,1696,7.43602781635185,"0.94",534.18,350104.3277,88,5752.126
"HUN",221,5.39816270151775,553,6.31535800152233,"0.854",522.5,163469.0429,44,9707.499
