"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"USA",4920,8.50106380948635,17091,9.74630728814851,"0.926",529.09,21433226,67,327096.265
"CHN",3774,8.2358907259285,5823,8.66957087183712,"0.761",554.72,14342933.96,42,1427647.786
"BRA",2430,7.79564653633459,3328,8.1101268019411,"0.765",408.76,1847795.847,38,209469.323
"AUS",2348,7.76131918094799,5269,8.56959587020929,"0.944",509.22,1380207.833,77,24898.152
"IND",1783,7.48605261786314,2061,7.63094658089046,"0.645",NA,2891582.351,40,1352642.28
"MEX",1248,7.12929754892937,1644,7.40488757561612,"0.779",443.36,1256440.91,31,126190.788
"MLI",1234,7.11801620446533,402,5.99645208861902,"0.434",NA,17432.62928,30,19077.749
"GBR",1215,7.10249935577465,7294,8.89480737136862,"0.932",515.8,2826441.791,77,67141.684
"ESP",1164,7.05961762829138,3592,8.18646442942209,"0.904",504.83,1393490.525,62,46692.858
"CAN",1100,7.00306545878646,4154,8.33182700443606,"0.929",519.69,1741496.79,77,37074.562
"ZAF",1070,6.97541392745595,1708,7.44307837434852,"0.709",374.06,351430.9912,44,57792.518
"ITA",884,6.78445706263764,2847,7.95402108727804,"0.892",500.75,2003576.145,53,60627.291
"DEU",870,6.76849321164863,5721,8.65189889426853,"0.947",524.26,3861123.558,80,83124.418
"JPN",738,6.60394382460047,1617,7.38832785957711,"0.919",590.89,5082465.811,74,127202.192
"NZL",629,6.44413125670044,1083,6.98749024700099,"0.931",492.69,206768.6733,88,4743.131
"FRA",591,6.3818160174061,4159,8.33302993974291,"0.901",499.18,2715518.274,69,64990.511
"SWE",591,6.3818160174061,2122,7.66011431917393,"0.945",509.15,530883.869,85,9971.638
"NOR",578,6.35957386867238,1154,7.05098944706805,"0.957",530.48,403336.3636,84,5337.962
"OMN",540,6.29156913955832,872,6.77078942390898,"0.813",414.85,76331.51867,54,4829.473
"POL",519,6.25190388316589,1187,7.07918439460967,"0.88",528.84,595862.0869,56,37921.592
"KEN",509,6.23244801655052,657,6.48768401848461,"0.601",NA,95501.87298,31,51392.565
"ARG",474,6.16120732169508,837,6.72982407048948,"0.845",429.38,449663.5248,42,44361.15
"IDN",474,6.16120732169508,571,6.34738920965601,"0.718",396.71,1119190.784,37,267670.543
"FIN",442,6.0913098820777,1462,7.28756064030972,"0.938",531.13,269296.3102,85,5522.576
"CHL",423,6.04737217904628,661,6.49375383985169,"0.851",455.97,282318.1597,67,18729.16
"ETH",419,6.03787091992214,386,5.95583736946483,"0.485",NA,92750.11782,38,109224.414
"PER",416,6.03068526026126,385,5.95324333428778,"0.777",419.49,226850.3928,38,31989.26
"IRN",409,6.0137151560428,1053,6.95939851213398,"0.783",433.92,603779.5565,25,81800.188
"TUR",402,5.99645208861902,576,6.35610766069589,"0.82",470.39,761425.5922,40,82340.088
"PRT",369,5.91079664404053,1290,7.16239749735572,"0.864",525.21,238785.085,61,10256.193
"MYS",357,5.87773578177964,576,6.35610766069589,"0.81",474.05,364684.1369,51,31528.033
"CRI",343,5.83773044716594,253,5.53338948872752,"0.81",422.54,61773.94463,57,4999.441
"CUB",340,5.82894561761021,98,4.58496747867057,"0.783",NA,105354.9432,47,11338.134
"NPL",338,5.82304589548302,262,5.5683445037611,"0.602",NA,30714.93474,33,28095.714
"IRL",332,5.80513496891649,600,6.39692965521615,"0.955",535.42,398590.1866,72,4818.69
"VNM",327,5.78996017089725,311,5.73979291217923,"0.704",520.04,261921.2292,36,95545.962
"NLD",319,5.76519110278484,2605,7.86518795418747,"0.944",530.27,907050.8631,82,17059.56
"GRC",309,5.73334127689775,643,6.46614472423762,"0.888",477.87,205326.7346,50,10522.246
"MNG",302,5.71042701737487,180,5.19295685089021,"0.737",NA,13852.85027,35,3170.216
"PHL",296,5.69035945432406,311,5.73979291217923,"0.718",NA,359354.4378,34,106651.394
"COL",294,5.68357976733868,519,6.25190388316589,"0.767",413.67,323802.8081,39,49661.048
"BGD",292,5.67675380226828,265,5.57972982598622,"0.632",NA,301051.1018,26,161376.708
"PAK",290,5.66988092298052,379,5.93753620508243,"0.557",NA,256996.3478,31,212228.286
"CHE",289,5.66642668811243,2236,7.71244383427499,"0.955",543.83,731425.4712,85,8525.611
"THA",287,5.65948221575962,363,5.89440283426485,"0.777",440.25,542016.9892,36,69428.453
"ECU",283,5.64544689764324,349,5.85507192220243,"0.759",414.71,107435.665,39,17084.358
"MDG",267,5.58724865840025,165,5.10594547390058,"0.528",NA,14104.66468,25,26262.313
"TZA",266,5.5834963087817,462,6.13556489108174,"0.529",NA,62942.61444,38,56313.438
"GHA",261,5.56452040732269,254,5.53733426701854,"0.611",NA,66999.25805,43,29767.102
"NER",259,5.55682806169954,242,5.48893772615669,"0.394",NA,12927.65499,32,22442.822
"GIN",229,5.43372200355424,97,4.57471097850338,"0.477",NA,12354.40127,28,12414.293
"UGA",220,5.39362754635236,210,5.34710753071747,"0.544",NA,32609.11959,27,42729.036
"RUS",200,5.29831736654804,542,6.29526600143965,"0.824",551.63,1692930.151,30,145734.038
"CZE",197,5.28320372873799,968,6.87523208727658,"0.9",516.2,250680.5045,54,10665.677
"AUT",196,5.27811465923052,1038,6.94505106372583,"0.922",519.54,445075.3917,76,8891.388
"CMR",190,5.24702407216049,180,5.19295685089021,"0.563",NA,38861.36203,25,25216.267
"ROU",184,5.21493575760899,297,5.6937321388027,"0.828",469.42,250075.9688,44,19506.114
"ISR",178,5.18178355029209,518,6.24997524225948,"0.919",514.24,395098.6021,60,8381.516
"BEL",177,5.17614973257383,1344,7.20340552108309,"0.931",529.11,533097.4558,76,11482.178
"NGA",177,5.17614973257383,203,5.31320597904179,"0.539",NA,474516.65,25,195874.683
"PAN",170,5.13579843705026,296,5.69035945432406,"0.815",368.96,66787.86684,35,4176.869
"COG",163,5.09375020080676,105,4.65396035015752,"0.574",NA,12397.37111,19,5244.359
