"ISO_Alpha_3","I_1","I_2","I_3","I_4","I_5","I_6","I_7","I_8","I_9","I_10","I_11","I_13","I_15","I_16","I_17","I_18","I_19","I_20","I_21","I_22","I_23","I_24","I_25","I_26"
"ABW",NA,NA,106,NA,NA,0.42,NA,0,3.466,NA,NA,0.53,NA,NA,0,NA,0,NA,0.042704398,0.072793167,2005,0,NA,NA
"AFG",NA,0.038809,85.1,0.497444762,0.794760317,1350,29624.03,1000,NA,95480,117.9460318,0.1,26.8,0,6.25,NA,0.238904,0.9938,0.00521862,0.0046472,3518409,0,4.70930476,NA
"AGO",NA,0.093829567,83.7,2.547947276,0.934734078,57856,35168.96,38514,3.175,18877,81.37655009,6.97,14.2,0,26.09,37,0.499349,0.9922,0.058864659,0.003754714,5540785,0.002925839,4.777115573,NA
"AIA",NA,0.227570333,100.4,NA,NA,5.5,NA,0,3.319,NA,NA,5.85,NA,NA,0,NA,0,NA,0.051533618,0.0476245,0,0,NA,NA
"ALB",NA,0.297917,85.6,1.177220906,2.207133346,771.5,2688.46,1482,3.406,30547,55.5136126,17.21,2.5,12,37.5,18,0.252859,0.988,0.054546289,0.050233556,1180010,0.000437157,6.414175987,NA
"AND",NA,0.349192667,89.5,NA,NA,16,NA,0,NA,0,NA,21.19,2.5,0,0,NA,0.229642,NA,0.169948783,0.207729889,0,0.00011407,NA,NA
"ARE",NA,NA,84.1,0.681456275,10.97525539,322.6,6537.72,0,2.5345,23340,10.40394296,13.07,2.5,0,NA,NA,0.387456,0.9875,0.140321359,0.106782667,18578,NA,2.321589061,NA
"ARG",448514,0.207726667,73.5,6.924378978,3.143857654,27112,230194.33,30600,2.512,780262,105.4015366,8.89,2.5,0,14.6,32,0.42166,0.9795,0.075389806,0.046229571,18261000,0.004611081,2.387180638,415412
"ARM",NA,0.130058933,86.9,0.885107495,2.232983962,332,2688.95,8140,NA,16268,NA,23.11,5.8,0,10.53,33,0.291108,0.9949,0.099063752,0.042412833,1547000,5.91e-06,4.333065657,1770.4
"ASM",NA,0.291512333,NA,NA,NA,17.543,NA,0,2.973,NA,NA,4.27,NA,NA,42.86,NA,0,NA,0.17,0.027778,NA,NA,NA,NA
"ATF",NA,0.113784733,NA,NA,NA,NA,NA,0,NA,NA,NA,97.83,NA,NA,NA,NA,0.170214,NA,NA,NA,NA,NA,NA,NA
"ATG",NA,0.252332667,95.8,NA,NA,9.8,24.64,0,3.669,20,NA,19.33,NA,0,0,NA,0.0812663,NA,0.093232408,0.072165167,NA,0.000460969,NA,NA
"AUS",1235677,0.206301667,66.2,16.56791129,9.305707226,124751,119543.57,30324,3.83833333333333,1404600,63.42230442,16.98,2.5,5,26.23,15,0.473554,0.9915,0.151999899,0.044943286,30044000,0.006182603,1.285488002,NA
"AUT",587,0.367310333,93.9,3.067703324,6.063146292,3869,5556.16,350,NA,86000,75.23907019,28.44,2.5,50,9.09,3,0.325919,0.9898,0.131653296,0.15028,17088560,0.001830633,8.553078407,6701.733333
"AZE",NA,0.118168333,86.2,0.849343643,2.309902639,1139.4,10371.33,568,NA,36644,NA,10.15,2.5,0,3.77,31,0.221007,0.9973,0.142132735,0.022140167,425300,2.11e-05,3.989118667,NA
"BDI",NA,0.163519667,96.1,0.315587738,0.621421204,276,8299.46,20120,NA,5562,81.21591387,7.59,NA,0,40,52,0.225569,0.9938,0.097669874,0.008054125,6624000,0.002711869,4.943534851,187.74
"BEL",23259,0.281589333,87,1.186619847,7.439414849,683.4,6493.85,283,3.266,189591,52.71970161,23.21,2.5,55,16.22,1,0.201169,0.9829,0.17,0.267147,5412140,0.003952128,14.49880477,12356.90667
"BEN",NA,0.098051067,88.7,0.876667272,1.41032762,4311,18981.41,20770,2.956,13348,128.2529068,28.87,7.5,0,66.67,81,0.425273,0.9909,0.167315495,0.0898025,6955050,0.003549882,5.215249616,NA
"BES",NA,0.314251667,NA,NA,NA,NA,NA,NA,3.684,NA,NA,31.9,NA,NA,22.22,NA,0.0446551,NA,0.169994816,0.036101857,NA,0,NA,NA
"BFA",NA,NA,88.5,0.983452056,1.205891124,5350,80790.27,20750,NA,48363,75.01716032,15.08,20.7,0,60,76,0.440549,0.9904,0.151191912,0.0243628,14691146,0,3.718562157,NA
"BGD",NA,0.180856333,80.6,0.376778451,0.721982078,1429,140128.37,1023991,2.601,1230260,39.70940879,4.61,16.4,0,10.53,22,0.335471,0.9951,0.040091053,0.0366436,26944413,0.006537193,19.64558272,29635.30667
"BGR",561685,0.189533,87.1,2.857587621,3.319070739,3823,18996.76,86,3.83,373045,36.8876837,34.69,2.5,41,87.18,11,0.321425,0.989,0.17,0.047864889,5570040,0.001762085,8.178956173,NA
"BHR",NA,NA,98,0.578061115,7.48893949,0.604,135.21,0,2.819,610,NA,6.7,NA,0,0,NA,0,NA,0.034928571,0.133464333,6944,NA,NA,NA
"BHS",NA,0.296026667,85.4,9.546470579,6.840018053,515,NA,0,2.917,0,NA,31.2,NA,0,2.04,99,0.317514,0.9996,0.111680384,0.058360286,50574,0.00358729,2.069170078,NA
"BIH",1495526,0.348178667,91.2,1.633613152,3.120152087,2185,6329.8,300,2.795,93685,NA,1.45,2.5,0,12,54,0.188062,0.9922,0.018924107,0.044188556,4152200,0.000218401,7.831457637,NA
"BLM",NA,NA,105.2,NA,NA,0,NA,NA,2.725,NA,NA,35.86,NA,NA,33.33,NA,0.00789038,NA,0.17,0.076007333,NA,0.000117862,NA,NA
"BLR",8278669,0.378346333,86.1,3.637041892,5.08601711,8633.5,18188.53,869,NA,456100,NA,9.51,2.5,0,0,29,0.243626,0.9942,0.123419685,0.01872575,19568000,0.003721882,5.809615591,NA
"BLZ",197122,0.634341333,94.1,NA,NA,1366.3,12432.66,0,3.848,7193,40.81432814,37.68,6.2,0,0,86,0.464076,0.9571,0.169788162,0.114269143,167000,0.007018839,2.857831677,1703.373333
"BMU",NA,0.1371252,86,0.130948795,5.767768678,1,NA,0,4.186,NA,NA,5.52,2.5,NA,50,NA,0.00023933,NA,0.17,0.135975,NA,0,NA,NA
"BOL",890375,0.499290667,82.5,16.73263167,2.962567753,54764,31417.21,72754,NA,23700,65.64702408,30.87,15.9,0,26.79,56,0.51402,0.9833,0.146201672,0.022362571,3367208,0.002577053,2.595124028,81149.24667
"BRA",6176239,0.619249333,86.9,9.078978338,3.111643597,493538,658880.73,237719,3.97625,3871997,53.81813454,28.94,2.5,0,24.39,33,0.631132,0.9635,0.151937869,0.019556714,267653000,0.004281252,3.354866083,674365
"BRB",NA,NA,92.9,0.188089549,4.475031407,6.3,163.1,0,4.288,454,12.52534487,1.35,2.5,0,0,NA,0.0121805,NA,0.047004322,0.0927374,10878,0.000372619,NA,NA
"BRN",NA,0.723381667,98.9,2.871568604,4.058190959,380,181.34,0,3.006,243,NA,46.87,2.5,0,16.67,NA,0.220546,0.9863,0.169819916,0.0557886,118957,0.003327302,3.235441685,22.75333333
"BTN",NA,0.533975,97.5,5.270439333,4.844957693,2754.935,457.34,7,NA,986,NA,48.01,NA,4,8.7,54,0.407976,0.9977,0.169226918,0.051609,5184336,0.000289661,21.05061722,30.22666667
"BVT",NA,NA,NA,NA,NA,NA,NA,NA,3.574,NA,NA,86.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWA",NA,NA,70.2,3.472217395,3.826143161,10840,3883.27,81,NA,21156,10.42646307,29.14,24.1,22,36.36,35,0.62671,0.9973,0.161991396,0.043695833,800906,0,2.284153169,NA
"CAF",NA,0.419814,81.8,7.867536676,1.244390627,22170,10993.16,28000,NA,226,45.57521461,18.06,47.7,0,62.5,69,0.520607,0.999,0.143060577,0.000423333,2545489,0.000580821,8.243351734,NA
"CAN",54091054,0.406853333,94.9,16.00668995,8.171821234,347069,147348.34,27964,3.704,2834601,85.05891799,9.69,2.5,0,2.47,13,0.430596,0.9874,0.121221789,0.0303347,153464371,0.006538281,1.504322186,147017.8
"CCK",NA,0.2132959,NA,NA,NA,NA,NA,NA,3.806,NA,NA,NA,NA,NA,100,NA,0,NA,NA,0.1666665,NA,NA,NA,NA
"CHE",606348,0.316334667,91,1.303122034,5.786640754,1254,2146.72,2023,NA,46827,41.74441635,9.65,2.5,30,NA,22,0.161753,0.9905,0.169990593,0.185851222,4709340,0.000500232,9.12984848,4152.426667
"CHL",2303158,0.315523,88.4,3.631091803,4.358704002,17735,12734.53,0,3.136,247971,25.78477613,18.4,2.5,0,7.75,12,0.42149,0.9922,0.114421548,0.04354675,58711789,0.005501442,1.083934146,53644.66667
"CHN",888080,0.173479333,82.2,0.94219311,3.383028183,208321.3,1416454.32,2281101,3.5,30911140,27.74846253,17.08,9.3,1,33.47,28,0.600319,0.9814,0.122759347,0.0075548,338106497,0.003013606,9.97612578,3628577.333
