"ISO_Alpha_3","Names1","Names2","Names1_percent","Names2_percent"
"ABW",4,2,8.52642124784175e-05,1.8501901070335e-05
"AFG",32,20,0.00068211369982734,0.00018501901070335
"AGO",29,18,0.000618165540468527,0.000166517109633015
"AIA",44,12,0.000937906337262592,0.00011101140642201
"ALA",NA,NA,NA,NA
"ALB",37,23,0.000788693965425362,0.000212771862308852
"AND",7,18,0.000149212371837231,0.000166517109633015
"ARE",19,7,0.000405005009272483,6.47566537461724e-05
"ARG",474,837,0.0101038091786925,0.00774304559793519
"ARM",20,15,0.000426321062392087,0.000138764258027512
"ASM",12,2,0.000255792637435252,1.8501901070335e-05
"ATA",160,27,0.0034105684991367,0.000249775664449522
"ATF",NA,NA,NA,NA
"ATG",NA,NA,NA,NA
"AUS",2348,5269,0.0500500927248311,0.0487432583697975
"AUT",196,1038,0.00417794641144246,0.00960248665550385
"AZE",11,8,0.000234476584315648,7.40076042813399e-05
"BDI",12,9,0.000255792637435252,8.32585548165074e-05
"BEL",177,1344,0.00377294140216997,0.0124332775192651
"BEN",103,129,0.00219555347131925,0.00119337261903661
"BES",NA,NA,NA,NA
"BFA",96,81,0.00204634109948202,0.000749326993348567
"BGD",292,265,0.00622428751092448,0.00245150189181938
"BGR",70,126,0.00149212371837231,0.0011656197674311
"BHR",6,5,0.000127896318717626,4.62547526758374e-05
"BHS",34,24,0.000724745806066549,0.00022202281284402
"BIH",16,7,0.00034105684991367,6.47566537461724e-05
"BLM",NA,NA,NA,NA
"BLR",12,14,0.000255792637435252,0.000129513307492345
"BLZ",54,33,0.00115106686845864,0.000305281367660527
"BMU",16,9,0.00034105684991367,8.32585548165074e-05
"BOL",145,134,0.00309082770234263,0.00123962737171244
"BRA",2430,3328,0.0517980090806386,0.0307871633810374
"BRB",17,21,0.000362372903033274,0.000194269961238517
"BRN",6,33,0.000127896318717626,0.000305281367660527
"BTN",43,43,0.000916590284142988,0.000397790873012202
"BVT",2,NA,4.26321062392087e-05,NA
"BWA",58,73,0.00123633108093705,0.000675319389067227
"CAF",16,6,0.00034105684991367,5.55057032110049e-05
"CAN",1100,4154,0.0234476584315648,0.0384284485230857
"CCK",4,NA,8.52642124784175e-05,NA
"CHE",289,2236,0.00616033935156566,0.0206851253966345
"CHL",423,661,0.00901669046959265,0.00611487830374571
"CHN",3774,5823,0.0804467844733869,0.0538682849662803
"CIV",NA,NA,NA,NA
"CMR",190,180,0.00405005009272483,0.00166517109633015
"COD",NA,NA,NA,NA
"COG",163,105,0.00347451665849551,0.000971349806192586
"COK",8,3,0.000170528424956835,2.77528516055025e-05
"COL",294,519,0.00626691961716369,0.00480124332775193
"COM",10,7,0.000213160531196044,6.47566537461724e-05
"CPV",24,13,0.000511585274870505,0.000120262356957177
"CRI",343,253,0.0073114062200243,0.00234049048539737
"CUB",340,98,0.00724745806066549,0.000906593152446414
"CUW",NA,NA,NA,NA
"CXR",7,4,0.000149212371837231,3.700380214067e-05
"CYM",2,5,4.26321062392087e-05,4.62547526758374e-05
"CYP",38,64,0.000810010018544966,0.000592060834250719
"CZE",197,968,0.00419926246456206,0.00895492011804213
"DEU",870,5721,0.0185449662140558,0.0529246880116932
"DJI",4,1,8.52642124784175e-05,9.25095053516749e-06
"DMA",19,16,0.000405005009272483,0.00014801520856268
"DNK",159,1335,0.0033892524460171,0.0123500189644486
"DOM",9,2,0.000191844478076439,1.8501901070335e-05
"DZA",60,61,0.00127896318717626,0.000564307982645217
"ECU",283,349,0.00603244303284804,0.00322858173677345
"EGY",144,142,0.00306951164922303,0.00131363497599378
"ERI",7,5,0.000149212371837231,4.62547526758374e-05
"ESH",3,NA,6.39481593588131e-05,NA
"ESP",1164,3592,0.0248118858312195,0.0332294143223216
"EST",137,363,0.0029202992773858,0.0033580950442658
"ETH",419,386,0.00893142625711423,0.00357086690657465
"FIN",442,1462,0.00942169547886513,0.0135248896824149
"FJI",71,79,0.00151343977149191,0.000730825092278232
"FLK",NA,NA,NA,NA
"FRA",591,4159,0.0125977873936862,0.0384747032757616
"FRO",5,5,0.000106580265598022,4.62547526758374e-05
"FSM",NA,NA,NA,NA
"GAB",51,49,0.00108711870909982,0.000453296576223207
"GBR",1215,7294,0.0258990045403193,0.0674764332035117
"GEO",136,540,0.00289898322426619,0.00499551328899044
"GGY",NA,NA,NA,NA
"GHA",261,254,0.00556348986421674,0.00234974143593254
"GIB",19,4,0.000405005009272483,3.700380214067e-05
"GIN",229,97,0.0048813761643894,0.000897342201911246
"GLP",13,27,0.000277108690554857,0.000249775664449522
"GMB",40,8,0.000852642124784175,7.40076042813399e-05
"GNB",NA,NA,NA,NA
"GNQ",18,7,0.000383688956152879,6.47566537461724e-05
"GRC",309,643,0.00658666041395775,0.00594836119411269
"GRD",4,8,8.52642124784175e-05,7.40076042813399e-05
"GRL",67,50,0.00142817555901349,0.000462547526758374
"GTM",45,33,0.000959222390382197,0.000305281367660527
"GUF",74,61,0.00157738793085072,0.000564307982645217
"GUM",20,37,0.000426321062392087,0.000342285169801197
"GUY",24,25,0.000511585274870505,0.000231273763379187
"HKG",132,343,0.00281371901178778,0.00317307603356245
"HMD",NA,NA,NA,NA
"HND",35,22,0.000746061859186153,0.000203520911773685
"HRV",85,170,0.00181186451516637,0.00157266159097847
"HTI",9,5,0.000191844478076439,4.62547526758374e-05
"HUN",162,446,0.00345320060537591,0.0041259239386847
"IDN",474,571,0.0101038091786925,0.00528229275558064
"IMN",6,3,0.000127896318717626,2.77528516055025e-05
"IND",1783,2061,0.0380065227122546,0.0190662090529802
"IOT",1,2,2.13160531196044e-05,1.8501901070335e-05
"IRL",332,600,0.00707692963570865,0.00555057032110049
"IRN",409,1053,0.00871826572591819,0.00974125091353137
"IRQ",34,19,0.000724745806066549,0.000175768060168182
"ISL",46,100,0.000980538443501801,0.000925095053516749
"ISR",178,518,0.00379425745528958,0.00479199237721676
"ITA",884,2847,0.0188433909577303,0.0263374561736218
"JAM",27,33,0.000575533434229318,0.000305281367660527
"JEY",67,60,0.00142817555901349,0.000555057032110049
"JOR",61,395,0.00130027924029587,0.00365412546139116
"JPN",738,1617,0.015731247202268,0.0149587870153658
"KAZ",25,27,0.000532901327990109,0.000249775664449522
"KEN",509,657,0.0108498710378786,0.00607787450160504
"KGZ",16,19,0.00034105684991367,0.000175768060168182
"KHM",101,91,0.00215292136508004,0.000841836498700241
"KIR",6,4,0.000127896318717626,3.700380214067e-05
"KNA",NA,NA,NA,NA
"KOR",149,543,0.00317609191482105,0.00502326614059595
"KWT",18,26,0.000383688956152879,0.000240524713914355
"LAO",9,2,0.000191844478076439,1.8501901070335e-05
"LBN",28,50,0.000596849487348922,0.000462547526758374
"LBR",18,10,0.000383688956152879,9.25095053516749e-05
"LBY",NA,NA,NA,NA
"LCA",3,1,6.39481593588131e-05,9.25095053516749e-06
"LIE",NA,15,NA,0.000138764258027512
"LKA",110,116,0.00234476584315648,0.00107311026207943
"LSO",9,5,0.000191844478076439,4.62547526758374e-05
"LTU",54,133,0.00115106686845864,0.00123037642117728
"LUX",14,72,0.000298424743674461,0.000666068438532059
