"ISO_Alpha_3","Names1","Names2","Names1_percent","Names2_percent"
"USA",2119,7828,0.122111450469659,0.252834210781306
"AUS",1106,1558,0.063735377168213,0.0503213720487064
"GBR",897,2949,0.0516913501988129,0.0952488614708827
"IND",626,560,0.0360744539849017,0.0180872710829754
"CAN",576,1618,0.0331931078199735,0.0522592939504538
"BRA",564,567,0.0325015847403907,0.0183133619715125
"MLI",538,30,0.031003284734628,0.00096896095087368
"MEX",513,498,0.0295626116521639,0.0160847517845031
"ZAF",499,549,0.028755834725984,0.0177319854009883
"CHN",486,607,0.0280066847231026,0.0196053099060108
"ESP",383,799,0.0220711116233504,0.0258066599916023
"NZL",355,418,0.0204575577709906,0.0135008559155066
"SWE",340,763,0.0195931539215121,0.0246439068505539
"DEU",294,1496,0.0169423154497781,0.0483188527502342
"FRA",282,1126,0.0162507923701954,0.0363683343561255
"JPN",266,466,0.0153287615974183,0.0150511934369045
"CRI",254,79,0.0146372385178355,0.00255159717063402
"FIN",252,508,0.0145219846712384,0.0164077387681276
"NOR",249,372,0.0143491039013427,0.0120151157908336
"ITA",213,628,0.0122745346625944,0.0202835825716224
"NLD",199,849,0.0114677577364145,0.0274215949097251
"IDN",198,113,0.0114101308131159,0.00364975291495753
"KEN",189,176,0.0108914885034288,0.00568457091179225
"PER",172,65,0.00991183080735319,0.00209941539355964
"CHE",153,601,0.00881691926468046,0.0194115177158361
"OMN",149,111,0.0085864115714862,0.00358515551823262
"CHL",140,137,0.00806776926179911,0.00442492167565647
"IRL",138,175,0.00795251541520198,0.0056522722134298
"CUB",133,13,0.00766438079870916,0.000419883078711928
"ARG",129,195,0.0074338731055149,0.00629824618067892
"NPL",127,50,0.00731861925891777,0.0016149349181228
"GIN",124,21,0.00714573848902207,0.000678272665611576
"NER",122,71,0.00703048464242494,0.00229320758373438
"MYS",116,75,0.00668472310263355,0.0024224023771842
"PRT",114,196,0.00656946925603642,0.00633054487904137
"ISR",113,204,0.00651184233273785,0.00658893446594102
"PAN",113,104,0.00651184233273785,0.00335906462969542
"ECU",109,47,0.00628133463954359,0.00151803882303543
"TUR",107,110,0.00616608079294646,0.00355285681987016
"UGA",107,59,0.00616608079294646,0.0019056232033849
"GRC",105,180,0.00605082694634933,0.00581376570524208
"PHL",104,84,0.00599320002305077,0.0027130906624463
"THA",102,104,0.00587794617645364,0.00335906462969542
"BEL",97,401,0.00558981155996081,0.0129517780433449
"AUT",91,215,0.00524405002016942,0.00694422014792804
"MDG",91,35,0.00524405002016942,0.00113045444268596
"POL",89,180,0.00512879617357229,0.00581376570524208
"ATA",88,2,0.00507116925027373,6.4597396724912e-05
"DNK",87,348,0.00501354232697516,0.0112399470301347
"CMR",86,51,0.0049559154036766,0.00164723361648526
"TZA",83,107,0.0047830346337809,0.00345596072478279
"NGA",81,61,0.00466778078718377,0.00197022060010982
"ETH",76,43,0.00437964617069095,0.00138884402958561
"RUS",76,159,0.00437964617069095,0.0051354930396305
"GEO",74,234,0.00426439232409382,0.0075578954168147
"BOL",71,36,0.00409151155419812,0.00116275314104842
"PRI",71,41,0.00409151155419812,0.0013242466328607
