"hdi_2018","ISO_Alpha_3","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"0.511","AFG",NA,17876.54643,19,37171.921
"0.581","AGO",NA,85000.61246,27,30809.787
"0.795","ALB",436.73,15278.07276,36,2882.74
"0.868","AND",NA,3154.137481,NA,77.006
"0.89","ARE",460.49,421142.2679,71,9630.959
"0.845","ARG",429.38,449663.5248,42,44361.15
"0.776","ARM",NA,13672.80134,49,2951.745
"0.778","ATG",NA,1661.962963,NA,96.286
"0.944","AUS",509.22,1380207.833,77,24898.152
"0.922","AUT",519.54,445075.3917,76,8891.388
"0.756","AZE",NA,48047.64706,30,9949.537
"0.433","BDI",NA,3002.350447,19,11175.374
"0.931","BEL",529.11,533097.4558,76,11482.178
"0.545","BEN",NA,14403.22012,41,11485.044
"0.452","BFA",NA,15990.80321,40,19751.466
"0.632","BGD",NA,301051.1018,26,161376.708
"0.816","BGR",490.67,67925.56942,44,7051.608
"0.852","BHR",452.36,38574.06915,42,1569.446
"0.814","BHS",NA,13578.8,63,385.637
"0.78","BIH",NA,20164.35007,35,3323.925
"0.823","BLR",NA,63080.96058,47,9452.617
"0.716","BLZ",NA,1879.616778,NA,383.071
"0.718","BOL",NA,40895.32284,31,11353.142
"0.765","BRA",408.76,1847795.847,38,209469.323
"0.814","BRB",NA,5209.204817,64,286.641
"0.838","BRN",NA,13469.24015,60,428.963
"0.654","BTN",NA,2564.460096,68,754.388
"0.735","BWA",398.47,18340.57337,60,2254.068
"0.397","CAF",NA,2220.306447,26,4666.368
"0.929","CAN",519.69,1741496.79,77,37074.562
"0.955","CHE",543.83,731425.4712,85,8525.611
"0.851","CHL",455.97,282318.1597,67,18729.16
"0.761","CHN",554.72,14342933.96,42,1427647.786
"0.538","CIV",NA,58539.60623,36,25069.23
"0.563","CMR",NA,38861.36203,25,25216.267
"0.48","COD",NA,47319.6236,18,84068.091
"0.574","COG",NA,12397.37111,19,5244.359
"0.767","COL",413.67,323802.8081,39,49661.048
"0.554","COM",NA,1165.840745,21,832.322
"0.665","CPV",NA,1981.846171,58,543.767
